Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
安全,ānquán,adj.,"safe, secure",4.18,,,,New Word,4下
棒,bàng,adj.,"excellent, amazing",4.15,,,,New Word,4下
包子,bāozi,n.,steamed stuffed bun,4.19,,,,New Word,4下
保护,bǎohù,v.,to protect,4.12,,,,New Word,4下
报名,bàomíng,v.,"to apply, to sign up",4.16,,,,New Word,4下
抱,bào,v.,"to hold in the arms, to hug",4.17,,,,New Word,4下
抱歉,bàoqiàn,v.,to be sorry,4.14,,,,New Word,4下
笨,bèn,adj.,"stupid, foolish",4.15,,,,New Word,4下
遍,biàn,m.,(denoting an action from beginning to end) time,4.13,,,,New Word,4下
表格,biǎogé,n.,"form, table",4.16,,,,New Word,4下
表示,biǎoshì,v.,"to express, to indicate",4.11,,,,New Word,4下
表演,biǎoyǎn,v.,"to act, to perform",4.13,,,,New Word,4下
表扬,biǎoyáng,v.,"to praise, to commend",4.15,,,,New Word,4下
并且,bìngqiě,conj.,and,4.12,,,,New Word,4下
博士,bóshì,n.,doctor (academic degree),4.16,,,,New Word,4下
部分,bùfen,n.,part,4.13,,,,New Word,4下
猜,cāi,v.,to guess,4.11,,,,New Word,4下
参观,cānguān,v.,"to visit, to look around",4.16,,,,New Word,4下
餐厅,cāntīng,n.,restaurant,4.13,,,,New Word,4下
厕所,cèsuǒ,n.,"lavatory, toilet",4.15,,,,New Word,4下
场,chǎng,m.,"used for sports or recreational events, etc.",4.19,,,,New Word,4下
乘坐,chéngzuò,v.,"to take (a vehicle), to ride (in a vehicle)",4.14,,,,New Word,4下
吃惊,chījīng,v.,"to be surprised, to be shocked",4.13,,,,New Word,4下
出差,chūchāi,v.,to go on a business trip,4.14,,,,New Word,4下
出发,chūfā,v.,"to depart, to set off",4.20,,,,New Word,4下
出生,chūshēng,v.,to be born,4.19,,,,New Word,4下
厨房,chúfáng,n.,kitchen,4.19,,,,New Word,4下
传真,chuánzhēn,v.,to send by fax,4.16,,,,New Word,4下
词语,cíyǔ,n.,"word, expression",4.11,,,,New Word,4下
粗心,cūxīn,adj.,"careless, thoughtless",4.15,,,,New Word,4下
存,cún,v.,"to store, to keep",4.20,,,,New Word,4下
错误,cuòwù,adj.,wrong,4.13,,,,New Word,4下
打扮,dǎban,v.,"to dress up, to deck out",4.20,,,,New Word,4下
打印,dǎyìn,v.,to print out,4.19,,,,New Word,4下
打招呼,dǎzhāohu,,"to greet, to say hello",4.19,,,,New Word,4下
打针,dǎzhēn,v.,to give or have an injection,4.15,,,,New Word,4下
大概,dàgài,adv.,"roughly, approximately",4.13,,,,New Word,4下
大约,dàyuē,adv.,"approximately, about",4.13,,,,New Word,4下
戴,dài,v.,to wear (accessories),4.19,,,,New Word,4下
刀,dāo,n.,knife,4.19,,,,New Word,4下
导游,dǎoyóu,n.,tour guide,4.16,,,,New Word,4下
到底,dàodǐ,adv.,(used in questions for emphasis) ... on earth,4.16,,,,New Word,4下
倒,dào,adv.,"(used to indicate contrast) yet, actually",4.17,,,,New Word,4下
道歉,dàoqiàn,v.,to apologize,4.19,,,,New Word,4下
得意,déyì,adj.,"complacent, gloating",4.14,,,,New Word,4下
登机牌,dēngjīpái,n.,boarding pass,4.20,,,,New Word,4下
